date,all_tests,pcr_tests,sero_tests
2020-07-18,19,19,0
2020-07-17,1125,492,633
2020-07-16,4095,2484,1611
2020-07-15,6751,5020,1731
2020-07-14,10166,7896,2270
2020-07-13,12718,10441,2277
2020-07-12,4722,4241,481
2020-07-11,6453,5730,723
2020-07-10,13727,11328,2399
2020-07-09,14883,12601,2282
2020-07-08,14394,12169,2225
2020-07-07,17823,15035,2788
2020-07-06,19823,17520,2303
2020-07-05,6987,6578,409
2020-07-04,6956,6423,533
2020-07-03,14704,13847,857
2020-07-02,23446,20811,2635
2020-07-01,23027,20258,2769
2020-06-30,23313,20551,2762
2020-06-29,23775,20286,3489
2020-06-28,8100,7582,518
2020-06-27,12337,11486,851
2020-06-26,22921,19284,3637
2020-06-25,21993,18588,3405
2020-06-24,22010,18576,3434
2020-06-23,21946,18391,3555
2020-06-22,19731,16868,2863
2020-06-21,6898,6243,655
2020-06-20,11108,10291,817
2020-06-19,20545,17169,3376
2020-06-18,19138,16120,3018
2020-06-17,16575,13869,2706
2020-06-16,17308,13734,3574
2020-06-15,15982,13278,2704
2020-06-14,5286,4649,637
2020-06-13,8525,7690,835
2020-06-12,16191,13214,2977
2020-06-11,14994,11625,3369
2020-06-10,14892,11637,3255
2020-06-09,15345,12097,3248
2020-06-08,14294,11075,3219
2020-06-07,4305,3694,611
2020-06-06,5748,4743,1005
2020-06-05,13758,10478,3280
2020-06-04,11916,8719,3197
2020-06-03,11513,8362,3151
2020-06-02,12248,8548,3700
2020-06-01,12277,8294,3983
2020-05-31,3263,2542,721
2020-05-30,9547,7712,1835
2020-05-29,12490,8843,3647
2020-05-28,10973,7337,3636
2020-05-27,9857,6138,3719
2020-05-26,10502,6589,3913
2020-05-25,2702,2180,522
2020-05-24,3206,2550,656
2020-05-23,6839,4709,2130
2020-05-22,9933,5950,3983
2020-05-21,9832,5705,4127
2020-05-20,9290,4870,4420
2020-05-19,10268,5773,4495
2020-05-18,10895,6256,4639
2020-05-17,3866,2654,1212
2020-05-16,12128,10423,1705
2020-05-15,11808,7282,4526
2020-05-14,9478,5669,3809
2020-05-13,9768,5903,3865
2020-05-12,10349,6460,3889
2020-05-11,10427,6215,4212
2020-05-10,2107,1661,446
2020-05-09,10182,9221,961
2020-05-08,10851,5813,5038
2020-05-07,10118,5775,4343
2020-05-06,8714,4422,4292
2020-05-05,8739,4512,4227
2020-05-04,8594,4385,4209
2020-05-03,1552,1165,387
2020-05-02,5624,5141,483
2020-05-01,7588,3885,3703
2020-04-30,6415,3375,3040
2020-04-29,5810,3071,2739
2020-04-28,4966,3134,1832
2020-04-27,3952,2812,1140
2020-04-26,673,673,0
2020-04-25,904,884,20
2020-04-24,2552,2402,150
2020-04-23,2117,2092,25
2020-04-22,1996,1991,5
2020-04-21,1956,1951,5
2020-04-20,2160,2150,10
2020-04-19,699,697,2
2020-04-18,722,718,4
2020-04-17,1988,1973,15
2020-04-16,1808,1804,4
2020-04-15,1767,1760,7
2020-04-14,1721,1717,4
2020-04-13,1833,1828,5
2020-04-12,670,670,0
2020-04-11,649,648,1
2020-04-10,1561,1557,4
2020-04-09,1706,1700,6
2020-04-08,1553,1553,0
2020-04-07,1723,1723,0
2020-04-06,2171,2171,0
2020-04-05,667,667,0
2020-04-04,880,880,0
2020-04-03,1848,1848,0
2020-04-02,1980,1980,0
2020-04-01,1937,1937,0
2020-03-31,1900,1900,0
2020-03-30,2026,2026,0
2020-03-29,606,606,0
2020-03-28,1019,1019,0
2020-03-27,2037,2037,0
2020-03-26,2088,2088,0
2020-03-25,2371,2371,0
2020-03-24,2246,2246,0
2020-03-23,2209,2209,0
2020-03-22,583,583,0
2020-03-21,669,669,0
2020-03-20,1697,1697,0
2020-03-19,1495,1495,0
2020-03-18,1308,1308,0
2020-03-17,1233,1233,0
2020-03-16,929,929,0
2020-03-15,256,256,0
2020-03-14,212,212,0
2020-03-13,409,409,0
2020-03-12,291,291,0
2020-03-11,95,95,0
2020-03-10,45,45,0
2020-03-09,44,44,0
2020-03-08,7,7,0
2020-03-07,3,3,0
2020-03-06,20,20,0
2020-03-05,8,8,0
2020-03-04,11,11,0
2020-03-03,1,1,0
2020-03-02,5,5,0
2020-03-01,3,3,0
