date,all_tests,pcr_tests,sero_tests
2020-07-22,34,34,0
2020-07-21,1630,879,751
2020-07-20,4640,2751,1889
2020-07-19,2274,1883,391
2020-07-18,2816,2247,569
2020-07-17,6739,4523,2216
2020-07-16,8186,6402,1784
2020-07-15,12745,10980,1765
2020-07-14,13533,11150,2383
2020-07-13,13734,11319,2415
2020-07-12,4778,4295,483
2020-07-11,6503,5780,723
2020-07-10,15918,13427,2491
2020-07-09,17465,15157,2308
2020-07-08,17997,15769,2228
2020-07-07,21181,18388,2793
2020-07-06,21122,18821,2301
2020-07-05,7101,6693,408
2020-07-04,6960,6427,533
2020-07-03,14666,13810,856
2020-07-02,23433,20799,2634
2020-07-01,22976,20206,2770
2020-06-30,23265,20496,2769
2020-06-29,23715,20225,3490
2020-06-28,8062,7545,517
2020-06-27,12285,11434,851
2020-06-26,22855,19216,3639
2020-06-25,21894,18491,3403
2020-06-24,21920,18489,3431
2020-06-23,21874,18315,3559
2020-06-22,19627,16768,2859
2020-06-21,6865,6211,654
2020-06-20,11056,10239,817
2020-06-19,20466,17093,3373
2020-06-18,19056,16038,3018
2020-06-17,16523,13818,2705
2020-06-16,17268,13697,3571
2020-06-15,15942,13239,2703
2020-06-14,5272,4637,635
2020-06-13,8499,7666,833
2020-06-12,16144,13172,2972
2020-06-11,14942,11576,3366
2020-06-10,14859,11606,3253
2020-06-09,15303,12055,3248
2020-06-08,14249,11032,3217
2020-06-07,4289,3680,609
2020-06-06,5734,4729,1005
2020-06-05,13725,10448,3277
2020-06-04,11887,8692,3195
2020-06-03,11497,8349,3148
2020-06-02,12221,8526,3695
2020-06-01,12242,8263,3979
2020-05-31,3251,2530,721
2020-05-30,9526,7692,1834
2020-05-29,12467,8823,3644
2020-05-28,10955,7320,3635
2020-05-27,9842,6126,3716
2020-05-26,10480,6569,3911
2020-05-25,2695,2173,522
2020-05-24,3197,2542,655
2020-05-23,6822,4693,2129
2020-05-22,9912,5932,3980
2020-05-21,9821,5697,4124
2020-05-20,9268,4853,4415
2020-05-19,10243,5751,4492
2020-05-18,10880,6245,4635
2020-05-17,3857,2648,1209
2020-05-16,12090,10385,1705
2020-05-15,11796,7270,4526
2020-05-14,9461,5652,3809
2020-05-13,9757,5892,3865
2020-05-12,10330,6442,3888
2020-05-11,10404,6193,4211
2020-05-10,2103,1657,446
2020-05-09,10150,9189,961
2020-05-08,10832,5796,5036
2020-05-07,10098,5758,4340
2020-05-06,8698,4407,4291
2020-05-05,8728,4502,4226
2020-05-04,8581,4374,4207
2020-05-03,1547,1162,385
2020-05-02,5611,5128,483
2020-05-01,7578,3878,3700
2020-04-30,6389,3353,3036
2020-04-29,5792,3055,2737
2020-04-28,4952,3122,1830
2020-04-27,3941,2803,1138
2020-04-26,672,666,6
2020-04-25,902,882,20
2020-04-24,2548,2398,150
2020-04-23,2109,2084,25
2020-04-22,1991,1986,5
2020-04-21,1950,1945,5
2020-04-20,2153,2143,10
2020-04-19,697,695,2
2020-04-18,721,717,4
2020-04-17,1980,1965,15
2020-04-16,1804,1800,4
2020-04-15,1760,1753,7
2020-04-14,1719,1715,4
2020-04-13,1825,1820,5
2020-04-12,667,667,0
2020-04-11,647,646,1
2020-04-10,1558,1554,4
2020-04-09,1701,1695,6
2020-04-08,1552,1552,0
2020-04-07,1722,1722,0
2020-04-06,2169,2169,0
2020-04-05,667,667,0
2020-04-04,878,878,0
2020-04-03,1842,1842,0
2020-04-02,1973,1973,0
2020-04-01,1927,1927,0
2020-03-31,1892,1892,0
2020-03-30,2024,2024,0
2020-03-29,604,604,0
2020-03-28,1016,1016,0
2020-03-27,2033,2033,0
2020-03-26,2080,2080,0
2020-03-25,2364,2364,0
2020-03-24,2234,2234,0
2020-03-23,2200,2200,0
2020-03-22,582,582,0
2020-03-21,668,668,0
2020-03-20,1693,1693,0
2020-03-19,1490,1490,0
2020-03-18,1306,1306,0
2020-03-17,1230,1230,0
2020-03-16,927,927,0
2020-03-15,256,256,0
2020-03-14,211,211,0
2020-03-13,408,408,0
2020-03-12,290,290,0
2020-03-11,94,94,0
2020-03-10,45,45,0
2020-03-09,44,44,0
2020-03-08,7,7,0
2020-03-07,3,3,0
2020-03-06,20,20,0
2020-03-05,8,8,0
2020-03-04,11,11,0
2020-03-03,1,1,0
2020-03-02,5,5,0
2020-03-01,3,3,0
