date,all_tests,pcr_tests,sero_tests
2020-07-21,21,13,8
2020-07-20,1418,688,730
2020-07-19,1573,1208,365
2020-07-18,2487,1931,556
2020-07-17,5920,3828,2092
2020-07-16,7335,5556,1779
2020-07-15,12268,10506,1762
2020-07-14,13211,10827,2384
2020-07-13,13561,11157,2404
2020-07-12,4758,4276,482
2020-07-11,6486,5763,723
2020-07-10,15778,13286,2492
2020-07-09,17065,14769,2296
2020-07-08,17052,14824,2228
2020-07-07,20030,17240,2790
2020-07-06,20925,18622,2303
2020-07-05,7099,6691,408
2020-07-04,6959,6426,533
2020-07-03,14667,13811,856
2020-07-02,23442,20807,2635
2020-07-01,22992,20222,2770
2020-06-30,23265,20501,2764
2020-06-29,23734,20244,3490
2020-06-28,8076,7558,518
2020-06-27,12303,11452,851
2020-06-26,22870,19231,3639
2020-06-25,21926,18522,3404
2020-06-24,21953,18521,3432
2020-06-23,21895,18335,3560
2020-06-22,19652,16792,2860
2020-06-21,6870,6216,654
2020-06-20,11068,10251,817
2020-06-19,20492,17119,3373
2020-06-18,19075,16057,3018
2020-06-17,16540,13834,2706
2020-06-16,17279,13707,3572
2020-06-15,15956,13253,2703
2020-06-14,5276,4640,636
2020-06-13,8501,7667,834
2020-06-12,16159,13186,2973
2020-06-11,14949,11581,3368
2020-06-10,14869,11616,3253
2020-06-09,15312,12064,3248
2020-06-08,14261,11044,3217
2020-06-07,4292,3682,610
2020-06-06,5735,4730,1005
2020-06-05,13731,10452,3279
2020-06-04,11894,8698,3196
2020-06-03,11497,8349,3148
2020-06-02,12230,8533,3697
2020-06-01,12248,8268,3980
2020-05-31,3251,2530,721
2020-05-30,9530,7695,1835
2020-05-29,12477,8831,3646
2020-05-28,10960,7324,3636
2020-05-27,9849,6130,3719
2020-05-26,10487,6576,3911
2020-05-25,2696,2174,522
2020-05-24,3201,2546,655
2020-05-23,6828,4699,2129
2020-05-22,9919,5938,3981
2020-05-21,9823,5698,4125
2020-05-20,9271,4855,4416
2020-05-19,10249,5757,4492
2020-05-18,10884,6249,4635
2020-05-17,3861,2651,1210
2020-05-16,12102,10397,1705
2020-05-15,11799,7273,4526
2020-05-14,9465,5656,3809
2020-05-13,9761,5896,3865
2020-05-12,10334,6445,3889
2020-05-11,10408,6197,4211
2020-05-10,2104,1658,446
2020-05-09,10158,9197,961
2020-05-08,10836,5800,5036
2020-05-07,10104,5761,4343
2020-05-06,8704,4412,4292
2020-05-05,8730,4504,4226
2020-05-04,8588,4380,4208
2020-05-03,1550,1163,387
2020-05-02,5614,5131,483
2020-05-01,7581,3879,3702
2020-04-30,6402,3363,3039
2020-04-29,5796,3057,2739
2020-04-28,4956,3125,1831
2020-04-27,3945,2806,1139
2020-04-26,673,673,0
2020-04-25,902,882,20
2020-04-24,2550,2400,150
2020-04-23,2111,2086,25
2020-04-22,1991,1986,5
2020-04-21,1952,1947,5
2020-04-20,2154,2144,10
2020-04-19,697,695,2
2020-04-18,721,717,4
2020-04-17,1981,1966,15
2020-04-16,1805,1801,4
2020-04-15,1761,1754,7
2020-04-14,1720,1716,4
2020-04-13,1827,1822,5
2020-04-12,669,669,0
2020-04-11,647,646,1
2020-04-10,1559,1555,4
2020-04-09,1704,1698,6
2020-04-08,1552,1552,0
2020-04-07,1722,1722,0
2020-04-06,2169,2169,0
2020-04-05,667,667,0
2020-04-04,878,878,0
2020-04-03,1844,1844,0
2020-04-02,1976,1976,0
2020-04-01,1927,1927,0
2020-03-31,1896,1896,0
2020-03-30,2026,2026,0
2020-03-29,606,606,0
2020-03-28,1017,1017,0
2020-03-27,2034,2034,0
2020-03-26,2081,2081,0
2020-03-25,2366,2366,0
2020-03-24,2235,2235,0
2020-03-23,2201,2201,0
2020-03-22,583,583,0
2020-03-21,668,668,0
2020-03-20,1694,1694,0
2020-03-19,1490,1490,0
2020-03-18,1307,1307,0
2020-03-17,1230,1230,0
2020-03-16,927,927,0
2020-03-15,256,256,0
2020-03-14,211,211,0
2020-03-13,408,408,0
2020-03-12,291,291,0
2020-03-11,94,94,0
2020-03-10,45,45,0
2020-03-09,44,44,0
2020-03-08,7,7,0
2020-03-07,3,3,0
2020-03-06,20,20,0
2020-03-05,8,8,0
2020-03-04,11,11,0
2020-03-03,1,1,0
2020-03-02,5,5,0
2020-03-01,3,3,0
